,sem,codigo,vales,zapatos,otras,fonac,alim,infon,falt,enf,ries,ISPT,ISPTA,IMSS,subs,t_per_g,t_per_e,t_per,t_ded,neto
1,1,7840,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.63,0.0,49.55,0.0,2747.43,604.16,3351.59,340.18,3011.41
2,1,7505,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.93,0.0,24.12,0.0,1617.04,246.04,1863.08,86.05,1777.03
3,1,6600,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.07,33.13,951.51,243.47,1194.98,21.07,1173.91
4,1,7685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.04,38.26,871.38,185.31,1056.69,28.04,1028.65
5,1,7331,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.71,34.96,922.88,206.68,1129.56,24.71,1104.85
6,1,5933,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.01,31.67,974.38,306.39,1280.77,28.01,1252.76
7,1,7170,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.7,30.02,1000.13,330.49,1330.62,31.7,1298.92
8,1,7774,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.81,34.14,935.76,218.73,1154.49,20.81,1133.68
9,1,5201,1.0,0.0,0.0,0.0,0.0,312.81,0.0,0.0,0.0,158.2,0.0,36.2,0.0,1974.5,256.22,2230.72,508.21,1722.51
10,1,3890,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.36,0.0,54.71,0.0,2104.51,319.12,2423.63,234.07,2189.56
11,1,7834,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.59,9.28,1117.04,306.82,1423.86,24.59,1399.27
12,1,3652,1.0,0.0,0.0,0.0,0.0,380.99,0.0,0.0,0.0,154.0,0.0,51.13,0.0,1935.94,367.5,2303.44,587.12,1716.32
13,1,1123,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.02,0.0,48.57,0.0,1480.01,438.34,1918.35,95.59,1822.76
14,1,4044,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.23,0.0,33.04,0.0,1431.09,377.84,1808.93,65.27,1743.66
15,1,7593,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.65,35.79,910.01,194.63,1104.64,27.65,1076.99
16,1,7259,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.27,38.9,861.38,159.12,1020.5,22.27,998.23
17,1,7312,1.0,0.0,0.0,0.0,0.0,0.0,120.51,0.0,0.0,0.0,0.0,20.72,33.62,976.84,249.48,1226.32,142.23,1084.09
18,1,7338,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.12,29.13,1014.04,172.17,1186.21,25.12,1161.09
19,1,5677,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.23,0.0,33.57,0.0,1412.68,300.47,1713.15,63.8,1649.35
